Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
300.00244140625	1000	1.37011e-09	-20065500.0
300.00244140625	1000	5.79714e-10	-24837200.0
300.00244140625	900	-3.69833e-10	-45149600.0
300.00244140625	800	6.10154e-11	11355500.0
300.00244140625	700	1.73918e-10	-25883300.0
300.00244140625	600	-2.60671e-10	-39230300.0
300.00244140625	400	4.57791e-09	46116100.0
300.00244140625	300	2.80356e-09	-24633300.0
300.00244140625	200	6.89852e-11	-42601900.0
300.00244140625	100	4.40574e-10	9978500.0
300.00244140625	0	2.44853e-10	4203820.0
300.00244140625	-100	-4.22504e-10	30700100.0
300.00244140625	-200	-3.85419e-10	-318477000.0
300.00244140625	-300	-1.30875e-09	-25303800.0
300.00244140625	-400	9.32534e-11	35836700.0
300.00244140625	-500	-1.71666e-10	-87677500.0
300.00244140625	-600	2.56397e-10	-254562.0
300.00244140625	-700	2.65331e-10	12114700.0
300.00244140625	-800	4.47948e-10	1935890.0
300.00244140625	-900	5.03696e-10	-6193270.0
300.00244140625	-1000	1.25559e-10	-30495900.0
300.00244140625	-1000	2.60321e-10	-20801600.0
300.00244140625	-900	1.77057e-10	-58968100.0
300.00244140625	-800	3.41579e-10	-31181800.0
300.00244140625	-700	3.75381e-10	-341274.0
300.00244140625	-600	8.13623e-10	-35951400.0
300.00244140625	-500	3.51057e-10	21333100.0
300.00244140625	-400	2.15915e-10	-22322100.0
300.00244140625	-300	-2.68547e-09	-22153500.0
300.00244140625	-200	1.92501e-10	-9417700.0
300.00244140625	-100	-3.53041e-10	-49160000.0
300.00244140625	0	5.95495e-10	-10612200.0
300.00244140625	100	2.89241e-10	67579400.0
300.00244140625	200	4.7158e-10	7815970.0
300.00244140625	300	4.50077e-10	-10401100.0
300.00244140625	400	3.93098e-10	3318610.0
300.00244140625	500	3.12071e-10	34345300.0
300.00244140625	600	4.54599e-10	19881000.0
300.00244140625	700	-7.64837e-10	32080700.0
300.00244140625	800	-2.2693e-08	-17214600.0
300.00244140625	900	1.49777e-10	5191860.0
300.00244140625	1000	3.46441e-10	4163430.0
