Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
100.0003890991211	-5000	1.91106e-08	4431960.0
100.0003890991211	-5000	1.90784e-08	4435800.0
100.0003890991211	-4900	1.90504e-08	4435180.0
100.0003890991211	-4800	1.91731e-08	4427390.0
100.0003890991211	-4700	1.90419e-08	4440220.0
100.0003890991211	-4600	1.89282e-08	4440810.0
100.0003890991211	-4500	1.90232e-08	4438800.0
100.0003890991211	-4400	1.90849e-08	4445790.0
100.0003890991211	-4300	1.90329e-08	4439280.0
100.0003890991211	-4200	1.8938e-08	4448170.0
100.0003890991211	-4100	1.89089e-08	4453560.0
100.0003890991211	-4000	1.8829e-08	4455130.0
100.0003890991211	-3900	1.8953e-08	4451690.0
100.0003890991211	-3800	1.89002e-08	4462580.0
100.0003890991211	-3700	1.88507e-08	4463030.0
100.0003890991211	-3600	1.88095e-08	4463770.0
100.0003890991211	-3500	1.88954e-08	4460850.0
100.0003890991211	-3400	1.87829e-08	4463780.0
100.0003890991211	-3300	1.878e-08	4470090.0
100.0003890991211	-3200	1.87546e-08	4467980.0
100.0003890991211	-3100	1.87963e-08	4472110.0
100.0003890991211	-3000	1.87201e-08	4481160.0
100.0003890991211	-2900	1.875e-08	4473300.0
100.0003890991211	-2800	1.86178e-08	4487770.0
100.0003890991211	-2700	1.86668e-08	4479370.0
100.0003890991211	-2600	1.85741e-08	4495210.0
100.0003890991211	-2500	1.85242e-08	4496260.0
100.0003890991211	-2400	1.85216e-08	4497810.0
100.0003890991211	-2300	1.85827e-08	4498690.0
100.0003890991211	-2200	1.84666e-08	4505220.0
100.0003890991211	-2100	1.84063e-08	4512660.0
100.0003890991211	-2000	1.84166e-08	4512250.0
100.0003890991211	-1900	1.83061e-08	4526430.0
100.0003890991211	-1800	1.82708e-08	4527140.0
100.0003890991211	-1700	1.81859e-08	4538970.0
100.0003890991211	-1600	1.81921e-08	4538880.0
100.0003890991211	-1500	1.82136e-08	4537350.0
100.0003890991211	-1400	1.81756e-08	4545490.0
100.0003890991211	-1300	1.82062e-08	4535430.0
100.0003890991211	-1200	1.81101e-08	4548600.0
100.0003890991211	-1100	1.82319e-08	4532130.0
100.0003890991211	-1000	1.82441e-08	4534640.0
100.0003890991211	-900	1.82002e-08	4541900.0
100.0003890991211	-800	1.81785e-08	4545530.0
100.0003890991211	-700	1.80211e-08	4558480.0
100.0003890991211	-600	1.80884e-08	4556460.0
100.0003890991211	-500	1.81466e-08	4542190.0
100.0003890991211	-400	1.80539e-08	4552660.0
100.0003890991211	-300	1.80471e-08	4558250.0
100.0003890991211	-200	1.81388e-08	4550150.0
100.0003890991211	-100	1.81601e-08	4551870.0
100.0003890991211	0	1.80701e-08	4553080.0
100.0003890991211	100	1.80102e-08	4558670.0
100.0003890991211	200	1.7993e-08	4563710.0
100.0003890991211	300	1.80086e-08	4564040.0
100.0003890991211	400	1.80306e-08	4555590.0
100.0003890991211	500	1.79577e-08	4560680.0
100.0003890991211	600	1.81144e-08	4550800.0
100.0003890991211	700	1.80545e-08	4552290.0
100.0003890991211	800	1.81696e-08	4538610.0
100.0003890991211	900	1.80784e-08	4554540.0
100.0003890991211	1000	1.81035e-08	4545790.0
100.0003890991211	1100	1.81425e-08	4551730.0
100.0003890991211	1200	1.82393e-08	4540520.0
100.0003890991211	1300	1.825e-08	4531460.0
100.0003890991211	1400	1.82691e-08	4527560.0
100.0003890991211	1500	1.83379e-08	4516570.0
100.0003890991211	1600	1.83196e-08	4524290.0
100.0003890991211	1700	1.84479e-08	4513220.0
100.0003890991211	1800	1.84488e-08	4511250.0
