Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
200.1180877685547	-100	3.41389e-08	4415850.0
200.1180877685547	-200	1.38854e-08	5082460.0
200.1180877685547	-300	4.65018e-08	3312930.0
200.1180877685547	-400	-6.22985e-08	3913120.0
200.1180877685547	-500	5.28466e-09	4004610.0
200.1180877685547	-600	4.46778e-08	2965250.0
200.1180877685547	-700	3.46878e-08	3929140.0
200.1180877685547	-800	2.18671e-08	4145140.0
200.1180877685547	-900	3.59322e-08	3974030.0
200.1180877685547	-1000	6.12943e-08	5276920.0
200.1180877685547	-1100	3.14875e-08	3493360.0
200.1180877685547	-1200	8.00598e-08	4217360.0
200.1180877685547	-1300	7.68997e-09	4274630.0
200.1180877685547	-1400	3.52766e-08	4013680.0
200.1180877685547	-1500	1.3338e-08	3602590.0
200.1180877685547	-1600	-2.01873e-07	4030170.0
200.1180877685547	-1700	1.21791e-08	4330120.0
200.1180877685547	-1800	2.09309e-08	3409260.0
200.1180877685547	-1900	9.98026e-09	3564550.0
200.1180877685547	-2000	-6.58719e-07	3994710.0
200.1180877685547	-2100	2.63116e-08	4056370.0
200.1180877685547	-2200	-1.53433e-08	4809100.0
200.1180877685547	-2300	1.48166e-08	3715460.0
200.1180877685547	-2400	3.24314e-08	4135030.0
200.1180877685547	-2500	4.54581e-08	3877660.0
200.1180877685547	-2600	5.23935e-08	5451460.0
200.1180877685547	-2700	5.08706e-08	3691720.0
200.1180877685547	-2800	3.58807e-07	4109210.0
200.1180877685547	-2900	6.70608e-08	4119150.0
200.1180877685547	-3000	2.39151e-08	3302870.0
200.1180877685547	-3100	1.82702e-08	3601990.0
200.1180877685547	-3200	-3.1064e-08	4048090.0
200.1180877685547	-3300	2.31873e-08	3777620.0
200.1180877685547	-3400	2.93772e-08	3950150.0
200.1180877685547	-3500	5.87832e-08	3656000.0
200.1180877685547	-3600	2.46747e-08	4618600.0
200.1180877685547	-3700	3.39203e-08	4328450.0
200.1180877685547	-3800	9.27879e-08	3737770.0
200.1180877685547	-3900	1.42431e-08	3088370.0
200.1180877685547	-4000	2.25022e-08	4365320.0
200.1180877685547	-4100	-2.67037e-07	3919210.0
200.1180877685547	-4200	-5.14385e-08	4245690.0
200.1180877685547	-4300	-3.48564e-08	4127210.0
200.1180877685547	-4400	6.57176e-08	3886550.0
200.1180877685547	-4500	6.50009e-08	4262860.0
200.1180877685547	-4600	1.08434e-07	4271670.0
200.1180877685547	-4700	2.51651e-08	4101820.0
200.1180877685547	-4800	8.97587e-08	4189520.0
200.1180877685547	-4900	1.10861e-08	4557200.0
200.1180877685547	-5000	-2.29806e-07	4161120.0
200.1180877685547	-5000	1.00943e-08	3865770.0
200.1180877685547	-4900	1.13192e-08	5087140.0
200.1180877685547	-4800	1.92075e-08	4073630.0
200.1180877685547	-4700	1.7403e-08	4207930.0
200.1180877685547	-4600	6.7983e-09	4602800.0
200.1180877685547	-4500	1.59577e-08	5095030.0
200.1180877685547	-4400	1.30321e-08	3460440.0
200.1180877685547	-4300	1.67654e-08	4056020.0
200.1180877685547	-4200	1.67042e-08	4150990.0
200.1180877685547	-4100	1.73968e-08	4152080.0
200.1180877685547	-4000	2.95573e-08	3920750.0
200.1180877685547	-3900	2.06234e-08	4246130.0
200.1180877685547	-3800	2.74671e-08	4512680.0
200.1180877685547	-3700	6.96492e-08	4791840.0
200.1180877685547	-3600	3.84207e-08	3460470.0
200.1180877685547	-3500	1.75661e-07	4084360.0
200.1180877685547	-3400	1.89661e-08	4036530.0
200.1180877685547	-3300	1.50034e-08	4087060.0
200.1180877685547	-3200	2.66365e-08	3891770.0
200.1180877685547	-3100	1.86927e-08	3499180.0
200.1180877685547	-3000	3.37486e-07	4139820.0
200.1180877685547	-2900	2.70429e-08	3241820.0
200.1180877685547	-2800	-5.92344e-08	4600630.0
200.1180877685547	-2700	1.9954e-08	3990740.0
200.1180877685547	-2600	4.16505e-08	4372500.0
200.1180877685547	-2500	5.58207e-07	4039050.0
200.1180877685547	-2400	-8.4157e-09	5394640.0
200.1180877685547	-2300	1.68625e-08	3800310.0
200.1180877685547	-2200	1.64124e-08	3981420.0
200.1180877685547	-2100	1.87611e-08	4194380.0
200.1180877685547	-2000	2.77046e-08	3603840.0
200.1180877685547	-1900	2.43074e-08	4126980.0
200.1180877685547	-1800	-1.55266e-07	4022330.0
200.1180877685547	-1700	6.15927e-07	4569560.0
200.1180877685547	-1600	-4.87639e-08	4057840.0
200.1180877685547	-1500	5.25778e-08	3932060.0
200.1180877685547	-1400	-6.99426e-08	4193680.0
200.1180877685547	-1300	1.08735e-07	4003730.0
200.1180877685547	-1200	1.01916e-08	3090510.0
200.1180877685547	-1100	2.08786e-08	4201970.0
200.1180877685547	-1000	4.84768e-08	3856240.0
200.1180877685547	-900	9.31576e-08	3654040.0
200.1180877685547	-800	1.69459e-08	3439090.0
200.1180877685547	-700	1.34148e-08	4128950.0
200.1180877685547	-600	1.16002e-08	4286220.0
200.1180877685547	-500	-1.98662e-08	4356870.0
200.1180877685547	-400	1.44489e-08	3792650.0
200.1180877685547	-300	2.23108e-07	4183300.0
