Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
140.1153106689453	-5000	9.16726e-08	3172710.0
140.1153106689453	-5000	9.1728e-08	3175570.0
140.1153106689453	-4900	9.20042e-08	3171440.0
140.1153106689453	-4800	9.23757e-08	3172120.0
140.1153106689453	-4700	9.24665e-08	3173590.0
140.1153106689453	-4600	9.28504e-08	3180260.0
140.1153106689453	-4500	9.17931e-08	3179490.0
140.1153106689453	-4400	9.18038e-08	3182020.0
140.1153106689453	-4300	9.09871e-08	3183130.0
140.1153106689453	-4200	9.20154e-08	3186320.0
140.1153106689453	-4100	9.18382e-08	3190080.0
140.1153106689453	-4000	9.13607e-08	3187330.0
140.1153106689453	-3900	9.22081e-08	3182390.0
140.1153106689453	-3800	9.18759e-08	3185610.0
140.1153106689453	-3700	9.13914e-08	3185490.0
140.1153106689453	-3600	9.20759e-08	3183140.0
140.1153106689453	-3500	9.22149e-08	3184320.0
140.1153106689453	-3400	9.16431e-08	3186420.0
140.1153106689453	-3300	9.05407e-08	3187890.0
140.1153106689453	-3200	9.19259e-08	3186690.0
140.1153106689453	-3100	9.06573e-08	3191290.0
140.1153106689453	-3000	9.13823e-08	3188430.0
140.1153106689453	-2900	9.15464e-08	3191170.0
140.1153106689453	-2800	9.15516e-08	3194730.0
140.1153106689453	-2700	9.05036e-08	3195920.0
140.1153106689453	-2600	9.03534e-08	3197020.0
140.1153106689453	-2500	9.05259e-08	3195110.0
140.1153106689453	-2400	9.08688e-08	3195240.0
140.1153106689453	-2300	9.08712e-08	3196280.0
140.1153106689453	-2200	9.10788e-08	3197320.0
140.1153106689453	-2100	8.95227e-08	3200780.0
140.1153106689453	-2000	9.10746e-08	3197840.0
140.1153106689453	-1900	9.00407e-08	3201160.0
140.1153106689453	-1800	8.98903e-08	3203010.0
140.1153106689453	-1700	8.99839e-08	3203160.0
140.1153106689453	-1600	9.12952e-08	3199430.0
140.1153106689453	-1500	8.98401e-08	3204580.0
140.1153106689453	-1400	8.98465e-08	3207890.0
140.1153106689453	-1300	9.02619e-08	3207030.0
140.1153106689453	-1200	9.09147e-08	3208860.0
140.1153106689453	-1100	8.94735e-08	3209800.0
140.1153106689453	-1000	9.05672e-08	3205250.0
140.1153106689453	-900	9.01062e-08	3202940.0
140.1153106689453	-800	9.07571e-08	3204630.0
140.1153106689453	-700	9.071e-08	3207410.0
140.1153106689453	-600	8.98033e-08	3211220.0
140.1153106689453	-500	8.99744e-08	3211970.0
140.1153106689453	-400	8.89807e-08	3213130.0
140.1153106689453	-300	8.92588e-08	3210900.0
140.1153106689453	-200	8.97036e-08	3208280.0
140.1153106689453	-100	8.99785e-08	3209780.0
140.1153106689453	0	8.98521e-08	3209720.0
140.1153106689453	100	8.95854e-08	3215740.0
140.1153106689453	200	8.97148e-08	3215770.0
140.1153106689453	300	9.00446e-08	3211050.0
140.1153106689453	400	9.09976e-08	3206980.0
140.1153106689453	500	8.9896e-08	3211260.0
140.1153106689453	600	8.99062e-08	3210250.0
140.1153106689453	700	8.99355e-08	3210820.0
140.1153106689453	800	8.95068e-08	3209430.0
140.1153106689453	900	8.88224e-08	3206600.0
140.1153106689453	1000	8.99476e-08	3210680.0
140.1153106689453	1100	8.99996e-08	3210750.0
140.1153106689453	1200	9.00029e-08	3205840.0
140.1153106689453	1300	8.97693e-08	3202460.0
140.1153106689453	1400	9.02191e-08	3203580.0
140.1153106689453	1500	9.12231e-08	3198550.0
140.1153106689453	1600	9.0173e-08	3201700.0
140.1153106689453	1700	8.98451e-08	3202670.0
140.1153106689453	1800	9.10981e-08	3198060.0
140.1153106689453	1900	9.00778e-08	3202040.0
140.1153106689453	2000	9.0206e-08	3203110.0
140.1153106689453	2100	8.999e-08	3201180.0
140.1153106689453	2200	9.06865e-08	3198940.0
140.1153106689453	2300	9.05467e-08	3197730.0
140.1153106689453	2400	9.10598e-08	3196970.0
140.1153106689453	2500	9.10038e-08	3194940.0
140.1153106689453	2600	9.05165e-08	3195850.0
140.1153106689453	2700	9.04551e-08	3194360.0
140.1153106689453	2800	9.09614e-08	3195910.0
140.1153106689453	2900	9.0512e-08	3192530.0
140.1153106689453	3000	9.09753e-08	3193930.0
140.1153106689453	3100	9.07074e-08	3193020.0
140.1153106689453	3200	9.06119e-08	3191820.0
140.1153106689453	3300	9.1215e-08	3186800.0
140.1153106689453	3400	9.07105e-08	3189240.0
140.1153106689453	3500	9.09064e-08	3187990.0
140.1153106689453	3600	9.13191e-08	3187660.0
140.1153106689453	3700	9.44182e-08	3191160.0
140.1153106689453	3800	9.10202e-08	3185860.0
140.1153106689453	3900	9.09084e-08	3185570.0
140.1153106689453	4000	9.09529e-08	3186250.0
140.1153106689453	4100	9.10934e-08	3180710.0
140.1153106689453	4200	9.11458e-08	3179740.0
140.1153106689453	4300	9.12518e-08	3181330.0
140.1153106689453	4400	9.13721e-08	3180090.0
140.1153106689453	4500	9.05134e-08	3180120.0
