Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
300.00164794921875	1000	2.08553e-10	21133100.0
300.00164794921875	1100	4.32773e-10	-25963500.0
300.00164794921875	1200	1.21435e-10	23019100.0
300.00164794921875	1300	7.28343e-10	19613000.0
300.00164794921875	1400	-1.42143e-10	-38516100.0
300.00164794921875	1500	9.78875e-10	-35451000.0
300.00164794921875	1600	8.64262e-11	-4132100.0
300.00164794921875	1700	3.48776e-10	2037490.0
300.00164794921875	1800	4.25331e-10	-1858110.0
300.00164794921875	1900	5.43407e-10	-28656600.0
300.00164794921875	2000	4.8587e-09	-37637600.0
300.00164794921875	2100	3.82711e-10	-2643910.0
300.00164794921875	2200	5.86603e-10	6974590.0
300.00164794921875	2300	1.68098e-10	-30140200.0
300.00164794921875	2400	8.01202e-10	-30349600.0
300.00164794921875	2500	4.80451e-10	-6209890.0
300.00164794921875	2600	4.396e-10	36070500.0
300.00164794921875	2700	5.10265e-10	4754.47
300.00164794921875	2800	-3.99019e-11	77208300.0
300.00164794921875	2900	3.61604e-10	-15955700.0
300.00164794921875	3000	1.13108e-10	-11272700.0
300.00164794921875	3100	2.64125e-10	-27719100.0
300.00164794921875	3200	4.87665e-10	-20031800.0
300.00164794921875	3300	6.06712e-10	-7806810.0
300.00164794921875	3400	2.44559e-10	32957500.0
300.00164794921875	3500	3.30592e-10	49954800.0
300.00164794921875	3600	1.18931e-09	-15201900.0
300.00164794921875	3700	5.04986e-10	-16140000.0
300.00164794921875	3800	4.9884e-10	-7132970.0
300.00164794921875	3900	1.95687e-10	38059100.0
300.00164794921875	4000	4.73843e-10	-42138100.0
300.00164794921875	4100	1.66751e-10	34806100.0
300.00164794921875	4200	2.05209e-10	-13527000.0
300.00164794921875	4300	5.00752e-10	-13652700.0
300.00164794921875	4400	4.44821e-10	-11855700.0
300.00164794921875	4500	2.52726e-10	7516720.0
300.00164794921875	4600	4.24913e-10	-132676.0
300.00164794921875	4700	2.90076e-10	4148460.0
300.00164794921875	4800	1.15532e-10	-32726300.0
300.00164794921875	4900	3.41297e-10	-2184860.0
300.00164794921875	5000	2.54939e-10	-27488800.0
300.00164794921875	5000	2.95424e-10	-11170900.0
300.00164794921875	4900	5.0106e-10	-16566200.0
300.00164794921875	4800	5.70667e-10	-9252200.0
300.00164794921875	4700	2.10407e-10	-35519700.0
300.00164794921875	4600	-6.3523e-10	-26970700.0
300.00164794921875	4500	-1.53607e-09	65680800.0
300.00164794921875	4400	1.63519e-10	-26611600.0
300.00164794921875	4300	4.2856e-10	-9471890.0
300.00164794921875	4200	-5.28343e-10	-26672900.0
300.00164794921875	4100	4.63731e-10	-7733830.0
300.00164794921875	4000	4.39953e-10	-22605200.0
300.00164794921875	3900	3.03592e-10	4028540.0
300.00164794921875	3800	2.17075e-10	1767300.0
300.00164794921875	3700	1.77137e-10	-35003100.0
300.00164794921875	3600	3.7066e-10	-11736500.0
300.00164794921875	3500	3.18431e-10	13202000.0
300.00164794921875	3300	7.88279e-10	38911700.0
300.00164794921875	3200	5.83802e-10	-13661900.0
300.00164794921875	3100	5.35444e-10	-12872500.0
300.00164794921875	3000	3.83636e-10	2521590.0
300.00164794921875	2900	2.56016e-10	-84978700.0
300.00164794921875	2800	3.7328e-10	-2659730.0
300.00164794921875	2700	-1.69207e-10	-43971900.0
300.00164794921875	2600	1.02263e-10	-41965500.0
300.00164794921875	2500	4.5329e-10	-1708410.0
300.00164794921875	2400	6.16994e-10	-32307700.0
300.00164794921875	2300	1.70638e-10	-27205400.0
300.00164794921875	2200	5.83624e-10	-44023100.0
300.00164794921875	2100	2.93779e-10	-5537370.0
300.00164794921875	2000	4.29255e-10	12847000.0
300.00164794921875	1900	5.67063e-10	-18358700.0
300.00164794921875	1800	3.96584e-10	6696600.0
300.00164794921875	1700	-7.15165e-10	-41627400.0
300.00164794921875	1600	4.318e-10	-18956100.0
300.00164794921875	1500	4.9789e-10	-13831000.0
300.00164794921875	1400	4.33587e-10	1929890.0
300.00164794921875	1300	4.07936e-10	-12200800.0
300.00164794921875	1200	3.39455e-10	-24917900.0
300.00164794921875	1100	-9.29503e-10	33342200.0
300.00164794921875	1000	3.92376e-10	8684370.0
300.00164794921875	900	2.62416e-10	-16853500.0
300.00164794921875	700	2.97116e-10	-14588500.0
300.00164794921875	600	6.33875e-10	3776500.0
300.00164794921875	500	-5.89723e-10	-42208300.0
300.00164794921875	400	2.56231e-10	-17632600.0
300.00164794921875	300	4.30246e-10	-7075440.0
300.00164794921875	200	1.99096e-10	-14347700.0
300.00164794921875	100	4.88813e-10	-3782690.0
300.00164794921875	0	2.65684e-10	-5801520.0
300.00164794921875	-100	2.43719e-10	-10946900.0
300.00164794921875	-200	4.57274e-10	14626600.0
300.00164794921875	-300	4.57354e-10	-10068800.0
300.00164794921875	-400	3.71783e-10	6441120.0
300.00164794921875	-500	4.35516e-10	948372.0
300.00164794921875	-600	-2.16881e-10	31207500.0
300.00164794921875	-700	1.24797e-09	-26803300.0
300.00164794921875	-800	7.87379e-10	-14468200.0
300.00164794921875	-900	2.82785e-10	2825130.0
300.00164794921875	-1000	5.29452e-10	-12434000.0
300.00164794921875	-1100	2.07777e-10	-57884800.0
300.00164794921875	-1200	4.25087e-10	11272400.0
300.00164794921875	-1300	2.34505e-10	-24666200.0
300.00164794921875	-1400	3.26289e-10	-6586610.0
300.00164794921875	-1500	4.03001e-10	-8157340.0
300.00164794921875	-1600	5.29377e-10	-16681300.0
300.00164794921875	-1700	4.66106e-10	-15706000.0
300.00164794921875	-1800	6.78321e-10	31605900.0
300.00164794921875	-1900	1.99325e-10	8479890.0
300.00164794921875	-2000	4.83551e-10	-6322410.0
300.00164794921875	-2100	2.36298e-10	-5877230.0
300.00164794921875	-2200	1.62879e-10	-39684900.0
300.00164794921875	-2300	3.54821e-10	11611100.0
300.00164794921875	-2400	3.33138e-10	21293300.0
300.00164794921875	-2500	1.42399e-10	15548400.0
300.00164794921875	-2600	6.77489e-10	-26376400.0
300.00164794921875	-2700	3.34866e-10	812175.0
300.00164794921875	-2800	4.94208e-10	-9688370.0
300.00164794921875	-2900	-4.1005e-10	-29965200.0
300.00164794921875	-3000	5.29885e-10	-4639660.0
300.00164794921875	-3100	1.13514e-10	-24137800.0
300.00164794921875	-3200	3.9804e-10	-23339800.0
300.00164794921875	-3300	2.32448e-10	8571920.0
300.00164794921875	-3400	2.02777e-10	-25039200.0
300.00164794921875	-3500	1.93152e-10	-1197740.0
300.00164794921875	-3600	3.27552e-10	10342200.0
300.00164794921875	-3700	3.92102e-10	-21314900.0
300.00164794921875	-3800	4.51579e-10	-44201600.0
300.00164794921875	-3900	-2.35236e-09	-34868500.0
300.00164794921875	-4000	2.46648e-10	-21373600.0
300.00164794921875	-4100	6.99921e-10	-23709400.0
300.00164794921875	-4200	3.30587e-10	-2694660.0
300.00164794921875	-4300	6.47476e-11	-54258100.0
300.00164794921875	-4400	4.06252e-10	-6349860.0
300.00164794921875	-4500	1.06971e-09	-19568100.0
300.00164794921875	-4600	8.05742e-10	-27551300.0
300.00164794921875	-4700	2.23585e-10	-3916290.0
300.00164794921875	-4800	2.63652e-10	10164600.0
300.00164794921875	-4900	4.61502e-10	-24062900.0
300.00164794921875	-5000	3.52823e-10	-25750900.0
300.00164794921875	-5000	1.33579e-10	-15531500.0
300.00164794921875	-4900	1.36226e-10	-5394960.0
300.00164794921875	-4800	5.20073e-10	-4888530.0
300.00164794921875	-4700	7.65399e-10	-9363170.0
300.00164794921875	-4600	6.50127e-10	-9934040.0
300.00164794921875	-4500	3.62937e-10	-20384700.0
300.00164794921875	-4400	4.73e-10	1608030.0
300.00164794921875	-4300	2.48233e-10	-8478700.0
300.00164794921875	-4200	2.92161e-10	-9714930.0
300.00164794921875	-4100	2.06064e-09	-35388700.0
300.00164794921875	-4000	1.16182e-09	33781300.0
300.00164794921875	-3900	2.49163e-10	-7960860.0
300.00164794921875	-3800	1.22438e-10	70683500.0
300.00164794921875	-3700	1.70893e-10	-1278390.0
300.00164794921875	-3600	2.90269e-10	5514450.0
300.00164794921875	-3500	5.22432e-10	-22634900.0
300.00164794921875	-3400	1.15598e-10	-46337400.0
300.00164794921875	-3300	3.68365e-10	-994726.0
300.00164794921875	-3200	-3.60561e-08	-25070800.0
